,Hydro_Run-of-river_and_poundage_Res,Hydro_Water_Reservoir_Res,Other_Res
2017-08-20,55.21938,-0.7166889999999988,11.767510003999998
2017-09-20,43.3374899,18.720570000000002,11.940719999999999
2017-09-23,38.62459,10.749111500000001,11.80785
2017-09-24,38.8623401,8.796831000000001,11.903920002
2017-10-18,30.5328304,21.692755000000005,12.0146301
2017-10-21,25.405910000000002,8.403910400000003,12.557599999999999
2017-10-22,25.378360100000002,4.468412299999999,12.48559003
2017-11-15,34.8199,25.041495999999995,12.92337
2017-11-18,29.153480000000002,9.602830000000004,13.59730001
2017-11-19,27.6616403,2.672720499999997,12.93407004
2017-12-20,32.41087,16.783502999999996,14.803150002
2017-12-23,29.01977,8.750710999999999,14.670180006
2017-12-24,27.2685599,8.116380500000002,13.34044
2018-01-17,36.3078403,15.105021,14.27792
2018-01-20,34.74157,10.378540399999999,13.17813
2018-01-21,35.353929900000004,11.28359,13.44712001
2018-02-21,32.110640000000004,18.089977999999995,16.28728003
2018-02-24,27.0983801,11.656359999999992,16.05075
2018-02-25,25.6190703,0.9776229999999941,16.248650002
2018-03-21,26.9830503,9.265480999999998,12.74555995
2018-03-24,22.58954,6.571619999999999,11.806250006
2018-03-25,20.1476701,5.855450000000001,11.821
2018-04-18,48.44197,7.699731999999997,13.5407202
2018-04-21,57.026420300000005,9.5829096,13.919520002000002
2018-04-22,57.49322,9.466960499999999,13.8251
2018-05-16,66.93142999999999,20.887421000000003,14.66559004
2018-05-19,63.08606,32.208152999999996,13.5385301
2018-05-20,58.0493397,3.366944,13.8846701
2018-06-20,71.43148,13.796620000000004,15.9862499
2018-06-23,67.9050403,4.353653999999999,15.580740220000001
2018-06-24,65.09698999999999,8.700970000000005,17.0648701
2018-07-18,54.374379999999995,4.492020000000004,13.0866998
2018-07-21,58.742560000000005,1.3618999999999986,14.941370000000001
2018-07-22,53.092060599999996,1.8442009999999982,15.394639948
2018-08-15,48.212011000000004,-1.7316690000000037,13.111240200000001
2018-08-18,44.915780399999996,-1.178178999999993,13.63805
2018-08-19,43.242200000000004,-1.7121804000000012,13.304050100000001
2018-09-19,40.0410003,0.08452599999999677,14.4718801
2018-09-22,35.817699999999995,4.119981000000003,14.808260100000002
2018-09-23,36.25342,-4.536549600000001,14.716810000000002
2018-10-17,23.4436903,3.446249999999999,15.51608005
2018-10-20,19.72979,6.638950300000001,15.225799999999998
2018-10-21,19.217020100000003,-1.9860183000000013,15.15393998
2018-11-21,22.44444,10.176749999999998,14.96271999
2018-11-24,19.477709899999997,6.683980000000002,14.61081002
2018-11-25,18.103180100000003,0.7545310000000036,14.956820003
2018-12-19,28.17981,12.492713500000008,15.739820002
2018-12-22,35.68297,7.3759304,12.12230007
2018-12-23,35.00677,5.3612003,12.29174004
2019-01-16,27.8506602,9.718130000000002,13.84714004
2019-01-19,23.1210902,4.6342619999999926,14.67980002
2019-01-20,21.279100200000002,4.673811000000001,14.694440049999999
2019-02-20,24.77622,13.362042999999993,16.749720004
